,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,G,GS,MP,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos,Rk,STL,STL%,TOV,TOV%,TRB,TRB%,TS%,Tm,USG%,VORP,WS,WS/48,eFG%
545,1.1,.441,2.5,0.4,0.323,1.3,0.344,0.5,6.0,24,0.2,1.4,-3.9,-0.1,1.3,10.6,0.4,1.5,0.4,3.8,0.4,0.625,0.7,0.178,24,2,12.8,-3.8,0.7,6.2,0.0,7.9,1.3,3.8,Lamar Stevens,PF,499.0,0.3,1.0,0.4,9.3,2.0,8.5,0.474,CLE,15.3,-0.1,0.3,.054,0.456
546,3.3,.559,5.9,0.1,0.154,0.4,0.071,1.1,6.6,20,1.1,4.0,-2.9,-0.2,5.7,25.3,0.8,3.3,0.53,6.3,1.1,0.681,1.6,0.257,29,29,25.8,-2.7,2.7,10.6,0.7,13.7,2.8,7.9,Isaiah Stewart,C,500.0,0.4,0.8,1.2,14.3,8.4,17.5,0.56,DET,13.6,-0.2,1.4,.093,0.536
548,1.4,.606,2.4,2.6,0.414,6.2,0.725,1.3,8.3,25,0.1,0.3,1.7,-0.6,3.1,14.9,0.6,4.0,0.467,8.6,0.9,0.758,1.2,0.138,28,4,23.4,2.3,0.4,1.7,1.4,15.0,1.5,11.5,Max Strus,SF,501.0,0.4,0.8,0.6,6.6,3.5,8.3,0.631,MIA,18.4,0.6,1.9,.142,0.617
549,2.9,.394,7.4,1.2,0.255,4.9,0.397,3.6,20.5,20,0.4,1.4,-6.0,-1.0,2.6,10.1,0.3,4.1,0.339,12.2,2.8,0.763,3.6,0.296,21,21,27.8,-4.9,0.8,2.9,-1.5,7.7,2.8,12.3,Jalen Suggs,PG,502.0,1.1,2.0,3.2,18.7,3.4,6.5,0.444,ORL,26.5,-0.6,-1.1,-0.093,0.389
552,4.1,.562,7.2,0.8,0.29,2.7,0.272,3.0,17.6,26,0.6,2.0,-1.6,-0.8,4.0,15.9,0.5,4.8,0.488,9.9,2.0,0.714,2.8,0.286,37,36,27.5,-0.8,1.8,7.0,1.1,14.9,3.6,12.5,Jae'Sean Tate,SF,505.0,0.9,1.6,1.9,14.5,5.8,11.5,0.559,HOU,20.2,0.1,1.6,.076,0.527
553,6.1,.473,12.9,2.8,0.333,8.5,0.397,3.9,18.9,23,0.8,2.1,2.8,0.0,7.4,21.7,1.7,8.9,0.418,21.4,5.0,0.833,6.0,0.28,35,35,36.8,2.8,1.2,3.4,1.3,19.7,2.5,25.7,Jayson Tatum,SF,506.0,1.0,1.4,2.7,10.2,8.5,12.4,0.535,BOS,31.8,1.6,3.0,.111,0.484
555,0.9,.465,1.9,1.3,0.379,3.4,0.636,1.2,8.9,35,0.5,2.2,-1.6,0.1,2.2,12.5,0.5,2.2,0.41,5.3,0.6,0.724,0.8,0.149,37,11,19.4,-1.7,0.7,3.6,0.3,10.8,1.6,6.2,Garrett Temple,SG,508.0,0.8,2.1,0.9,13.3,2.9,7.9,0.549,NOP,14.2,0.1,0.9,.058,0.531
559,2.5,.611,4.1,0.8,0.268,3.1,0.428,0.8,5.1,29,0.7,2.6,-3.9,-1.4,4.0,18.6,0.2,3.3,0.464,7.2,1.1,0.694,1.6,0.217,23,20,23.5,-2.5,1.3,6.1,0.1,10.7,2.4,8.6,Daniel Theis,C,512.0,0.4,0.8,1.3,13.8,5.3,12.4,0.544,HOU,16.6,-0.3,0.3,.026,0.521
561,1.9,.495,3.8,0.5,0.224,2.3,0.379,1.2,11.6,20,0.2,0.9,-3.7,-0.9,2.0,13.3,0.4,2.4,0.392,6.1,0.7,0.81,0.8,0.137,25,1,15.0,-2.8,0.2,1.2,-0.2,9.9,0.5,6.0,Cam Thomas,SG,514.0,0.4,1.2,0.5,6.9,2.1,7.5,0.462,BRK,20.2,-0.1,0.2,.020,0.435
565,0.4,.313,1.2,0.7,0.346,2.0,0.619,0.3,3.9,27,0.1,0.6,-4.4,-1.3,0.8,8.9,0.1,1.1,0.333,3.2,0.2,1.0,0.2,0.048,13,0,10.4,-3.1,0.1,0.8,0.0,6.9,0.4,3.0,Matt Thomas,SG,516.0,0.2,1.1,0.0,0.0,0.9,4.9,0.455,CHI,14.0,-0.1,0.1,.027,0.44
